Date,Description,Amount
2024-01-05,NETFLIX SUBSCRIPTION,-14.99
2024-01-06,SALARY DEPOSIT,3240.00
2024-01-07,UBER EATS ORDER,-23.50
2024-01-08,AMAZON PURCHASE,-67.20
2024-01-09,SHELL GAS STATION,-45.00
2024-01-10,WALMART GROCERY,-112.30
2024-01-11,SPOTIFY PREMIUM,-9.99
2024-01-12,RENT PAYMENT,-950.00
2024-01-13,FREELANCE PAYMENT,800.00
2024-01-14,STARBUCKS COFFEE,-6.50
2024-01-15,GYM MEMBERSHIP,-29.99
2024-01-16,UBER RIDE,-12.40
2024-01-17,WHOLE FOODS MARKET,-89.60
2024-01-18,ELECTRICITY BILL,-78.00
2024-01-19,INTERNET BILL,-59.99
2024-01-20,MCDONALDS,-8.75
2024-01-21,PHARMACY CVS,-34.20
2024-01-22,CINEMA TICKET,-15.00
2024-01-23,BONUS PAYMENT,500.00
2024-01-24,APPLE APP STORE,-4.99
